Contracts,10DP,15DP,25DP,35DP,50D,35DC,25DC,15DC,10DC
Aug-25,64.85,65.752,66.704,67.28,67.951,68.601,69.123,69.888,70.571
Sep-25,56.959,59.424,62.407,64.563,67.391,70.41,73.015,77.27,81.933
Oct-25,53.81,56.944,60.636,63.301,66.811,70.594,73.729,78.763,84.025
Nov-25,51.687,55.185,59.413,62.524,66.653,71.026,74.679,80.256,85.649
Dec-25,49.34,53.545,58.453,62.033,66.759,71.636,75.601,81.622,87.71
Jan-26,48.349,52.732,57.974,61.839,66.939,72.094,76.209,82.474,89.02
Feb-26,47.773,52.105,57.59,61.719,67.136,72.573,76.899,83.364,89.721
Mar-26,46.916,51.447,57.249,61.625,67.349,73.021,77.487,84.152,90.755
Apr-26,46.175,50.875,56.961,61.561,67.547,73.412,77.999,84.834,91.598
May-26,45.574,50.408,56.715,61.504,67.742,73.83,78.572,85.61,92.522
